sample	weighted_NSTI
AD1	0.09775523207660265
AD4	0.09523245322671813
AD5	0.0731614444443846
AD6	0.05870479886923166
AD7	0.08656226810379965
AD8	0.05758616887818537
AP2	0.07570297240172959
AP3	0.09590872824938443
AP4	0.11644681665167275
AP5	0.09244814403290044
AP6	0.04639970927969745
AP7	0.09595606546712304
CON1	0.1000410978831474
CON3	0.046523784866792886
CON4	0.09284816927086822
CON5	0.06710901623797823
CON6	0.05875068155047077
CON8	0.05247341166120809
