"V1"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Kruskal_test"	"Dunn_AD.AP"	"Dunn_AD.CON"	"Dunn_AP.CON"	"AD_mean"	"AD_SD"	"AP_mean"	"AP_SD"	"CON_mean"	"CON_SD"	"total"	"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"
"5c33db7c460ec1200192e97fda0dbb2e"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Oscillospiraceae"	" g__NK4A214_group"	" s__unidentified"	"0.0258430450595841"	"0.0498038366293276"	"0.067113476562487"	"1"	"3.7999696002432e-05"	"9.30798655868361e-05"	"0.000368684477090407"	"0.00032646294415418"	"0.000379547609190198"	"0.00025901454395131"	"0.000262077260761012"	"0"	"0.000227998176014592"	"0"	"0"	"0"	"0"	"0.000376789751318764"	"0.000935234977788169"	"0.000340748673514092"	"0"	"0.000107492206815006"	"0.000451841253106409"	"0.000741564701520208"	"0.000313788775327237"	"0.000339282079120581"	"0.000594216294731282"	"0.000288433804441881"	"0"
"4a5ca2c1b01a086ac047342cae74a6bc"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Oscillospiraceae"	" g__uncultured"	" s__unidentified"	"0.363705813441411"	"0.471263772544085"	"1"	"1"	"0"	"0"	"0.000180776703034001"	"0.000285845784449205"	"0.000395501174144111"	"0.000968776069324703"	"0.000192092625726037"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0006328189650976"	"0"	"0"	"0.000451841253106409"	"0.00237300704486466"	"0"	"0"	"0"	"0"	"0"
"49d100f9906bf4d6aeeb9472dc402f89"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Butyricicoccaceae"	" g__UCG-009"	" s__uncultured_bacterium"	"0.36787944117144"	"1"	"0.66201408575954"	"0.66201408575954"	"0"	"0"	"0"	"0"	"3.70782350760104e-05"	"9.08227564991909e-05"	"1.23594116920035e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000222469410456062"	"0"	"0"	"0"	"0"	"0"
"2f84e0f713ad12b7f80d875da9bd194a"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Butyricicoccaceae"	" g__Butyricicoccus"	" s__uncultured_bacterium"	"0.380277134565821"	"1"	"0.579382455182812"	"0.847049923293584"	"0.00148794888416925"	"0.00221728034802609"	"0.000608305823658436"	"0.000732211567072177"	"0.000213203292899655"	"0.000336528542929747"	"0.00076981933357578"	"0.00220053038424646"	"0.0056999544003648"	"0.000569368001518315"	"0.000457840518885921"	"0"	"0"	"0"	"0.000584521861117606"	"0.00184977851336222"	"0"	"0.000161238310222509"	"0.00105429625724829"	"0.000741564701520208"	"0"	"0"	"0"	"0"	"0.000537655055877722"
"0da613e8d89cfcdeaa139caf8f2506f5"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Butyricicoccaceae"	" g__UCG-009"	" s__uncultured_organism"	"0.36787944117144"	"1"	"0.66201408575954"	"0.66201408575954"	"0"	"0"	"0"	"0"	"0.000121044060037854"	"0.000296496183487554"	"4.03480200126179e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000726264360227123"	"0"	"0"
"e68232c813113acedf433f2403824273"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Oscillospiraceae"	" g__Oscillibacter"	" s__uncultured_bacterium"	"0.4729432423932"	"0.663141632666169"	"1"	"1"	"0.00210729741828269"	"0.00397310655504738"	"0.000194713527722339"	"0.000476948788936996"	"0.000815507104516305"	"0.0015462633478299"	"0.00103917268350711"	"0.0100998702251312"	"0.000866393068855449"	"0"	"0"	"0.00167752121570949"	"0"	"0"	"0"	"0.00116828116633403"	"0"	"0"	"0"	"0.00385613644790508"	"0"	"0"	"0"	"0"	"0.00103690617919275"
"e9b2dd709e597470d2d8ded16c2bad44"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Oscillospiraceae"	" g__uncultured"	" s__uncultured_bacterium"	"0.294812347596694"	"0.387647594003613"	"0.835473249839029"	"1"	"0.00144316242408322"	"0.00153606898750356"	"0.00307975617847784"	"0.00187603333508911"	"0.00320487023584243"	"0.00305994026376856"	"0.00257592961280116"	"0.00124132483213903"	"0.00109439124487004"	"0.00227747200607326"	"0"	"0.00404578646141701"	"0"	"0.0014443607133886"	"0.00280570493336451"	"0.00540330039429489"	"0.00354337683812673"	"0.00053746103407503"	"0.00474433315761729"	"0.00348535409714498"	"0"	"0.00814276989889394"	"0.00501782648884194"	"0.000432650706662821"	"0.00215062022351089"
"987e547ebf8cab92d43f1d4dd99e0552"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Oscillospiraceae"	" g__NK4A214_group"	" s__uncultured_bacterium"	"0.586071357998473"	"1"	"1"	"1"	"0.000150463616016852"	"0.000368559084095345"	"0"	"0"	"7.41564701520208e-05"	"0.000181645512998382"	"7.48733620562909e-05"	"0.000902781696101112"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000444938820912125"	"0"	"0"	"0"	"0"	"0"
"f30e34615227fb494c91d21f07600494"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Lachnospirales"	" f__Lachnospiraceae"	" g__ASF356"	" s__uncultured_Clostridiales"	"0.36787944117144"	"0.66201408575954"	"1"	"0.66201408575954"	"0"	"0"	"2.51022918392449e-05"	"6.14878063805803e-05"	"0"	"0"	"8.36743061308164e-06"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.00015061375103547"	"0"	"0"	"0"	"0"	"0"	"0"
"a83260ae5efd41945859904e88a99c81"	"d__Bacteria"	" p__Bacteroidota"	" c__Bacteroidia"	" o__Bacteroidales"	" f__Muribaculaceae"	" g__Muribaculaceae"	" s__uncultured_organism"	"0.36787944117144"	"1"	"0.66201408575954"	"0.66201408575954"	"0"	"0"	"0"	"0"	"5.22981292212061e-05"	"0.000128103731094094"	"1.7432709740402e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000313788775327237"	"0"	"0"	"0"	"0"
"b20b8aa4bd244d965316a278875a1469"	"d__Bacteria"	" p__Bacteroidota"	" c__Bacteroidia"	" o__Bacteroidales"	" f__Muribaculaceae"	" g__Muribaculaceae"	" s__uncultured_Bacteroidales"	"0.84896043973956"	"1"	"1"	"1"	"0.0380044677915248"	"0.0300565913953186"	"0.0464844026641808"	"0.00965474027658505"	"0.0417549618310145"	"0.0170580015836068"	"0.0420812774289067"	"0"	"0.00693114455084359"	"0.0773391535395711"	"0.0459366653948874"	"0.0602920860469706"	"0.0375277572168764"	"0.0412584777694047"	"0.0575754033200842"	"0.0464878547437083"	"0.03578810606508"	"0.0586369988175857"	"0.0391595752692221"	"0.0156470152020764"	"0.0346512461897077"	"0.0473637782452331"	"0.0389541793212729"	"0.0464378425151428"	"0.0674757095126541"
"160efa2a41c4cec475f79506e42374ca"	"d__Bacteria"	" p__Bacteroidota"	" c__Bacteroidia"	" o__Bacteroidales"	" f__Muribaculaceae"	" g__Muribaculaceae"	" s__uncultured_bacterium"	"0.182363307615859"	"0.583097732409327"	"0.223058716105691"	"1"	"0.0612519484215883"	"0.036067583585776"	"0.0402238892707885"	"0.00893477213920272"	"0.0357115005279555"	"0.0094502224245353"	"0.0457291127401108"	"0.0440106076849292"	"0.13187414500684"	"0.0336401594230404"	"0.0613506295307135"	"0.0561476218669824"	"0.0404885270170244"	"0.040756091434313"	"0.0518470890811316"	"0.0371416054130361"	"0.0324218980688596"	"0.0297753412877566"	"0.049401310339634"	"0.0223952539859103"	"0.0447373139680832"	"0.0421388342267761"	"0.0359830978476165"	"0.0429766368618402"	"0.0260378662775068"
"a71cdb983f4aa92f7986bbba79bdf852"	"d__Bacteria"	" p__Bacteroidota"	" c__Bacteroidia"	" o__Bacteroidales"	" f__Muribaculaceae"	" g__Muribaculaceae"	" s__unidentified"	"0.0629255429917618"	"0.153282728064429"	"1"	"0.103739490811038"	"0.00756933034689237"	"0.00937254269810337"	"0.0155482432259505"	"0.00532758833369599"	"0.00566827944386472"	"0.00525051803093323"	"0.00959528433890255"	"0"	"0"	"0.00640539001708104"	"0.00267073636016788"	"0.0242747187685021"	"0.0120651369356033"	"0.0209746294900779"	"0.0160158989946224"	"0.0114394197536874"	"0.00950806118230674"	"0.0126840804041707"	"0.0226673695308382"	"0.0152762328513163"	"0"	"0.00508923118680871"	"0.00290505744090849"	"0.00374963945774445"	"0.00698951572641038"
"a8eb3e86e896febff5f3e223f84ba94b"	"d__Bacteria"	" p__Bacteroidota"	" c__Bacteroidia"	" o__Bacteroidales"	" f__Tannerellaceae"	" g__Parabacteroides"	" s__Parabacteroides_goldsteinii"	"0.342569407650713"	"1"	"1"	"0.432254883955549"	"0.00114943420228001"	"0.00121023644623304"	"0.000819377825033603"	"0.000402647935930495"	"0.00143961922802316"	"0.000735223608820383"	"0.00113614375177893"	"0"	"0"	"0.00322641867527045"	"0.00144982830980542"	"0.0014801657785672"	"0.00074019245003701"	"0.000502386335091685"	"0.000642974047229366"	"0.000681497347028185"	"0.00159451957715703"	"0.000591207137482532"	"0.000903682506212817"	"0.000593251761216166"	"0.00210686749148288"	"0.0025106873854923"	"0.000924336458470883"	"0.00108162676665705"	"0.00142094550481969"
"1c92e8da0f4c5f73d3b4fa51588725d7"	"d__Bacteria"	" p__Bacteroidota"	" c__Bacteroidia"	" o__Bacteroidales"	" f__Bacteroidaceae"	" g__Bacteroides"	" s__uncultured_bacterium"	"0.120314388400899"	"1"	"0.224117799936391"	"0.224117799936391"	"0"	"0"	"0"	"0"	"0.000234146149134216"	"0.000506184870746389"	"7.80487163780718e-05"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.00126065999258435"	"0"	"0"	"0"	"0.00014421690222094"	"0"
"b6635d67cb594473ddba9f8cfba5d13d"	"d__Bacteria"	" p__Bacteroidota"	" c__Bacteroidia"	" o__Bacteroidales"	" f__Bacteroidaceae"	" g__Bacteroides"	" s__Bacteroides_vulgatus"	"0.724357070323481"	"1"	"1"	"1"	"0.00147086733725565"	"0.00360287445560251"	"0.000267794646943314"	"0.000437348578378837"	"4.40160218319468e-05"	"0.000107816793995474"	"0.000594226002010302"	"0"	"0"	"0.00882520402353388"	"0"	"0"	"0"	"0"	"0.000584521861117606"	"0.00102224602054228"	"0"	"0"	"0"	"0"	"0"	"0"	"0.000264096130991681"	"0"	"0"
"9c27410265c4c0f8558f6d01a3282755"	"d__Bacteria"	" p__Bacteroidota"	" c__Bacteroidia"	" o__Bacteroidales"	" f__Prevotellaceae"	" g__Prevotellaceae_UCG-001"	" s__uncultured_bacterium"	"0.0353315552697601"	"0.0372232809739869"	"0.205869537604145"	"1"	"0.000754370839035643"	"0.000907772935777293"	"0.00489920122162036"	"0.00413871435328676"	"0.00234902815073468"	"0.00124392616492994"	"0.00266753340379689"	"0"	"0"	"0.00156576200417537"	"0"	"0.00207223208999408"	"0.000888230940044412"	"0"	"0.0114566284779051"	"0.00778854110889354"	"0.00478355873147109"	"0.00220359023970762"	"0.00316288877174486"	"0.00222469410456062"	"0.00354133046440739"	"0.000678564158241162"	"0.00138650468770633"	"0.00230747043553504"	"0.00395560505395753"
"942c85a5ce30e27155622d82ef326bc2"	"d__Bacteria"	" p__Bacteroidota"	" c__Bacteroidia"	" o__Bacteroidales"	" f__Marinifilaceae"	" g__Odoribacter"	" s__uncultured_bacterium"	"0.300686789657555"	"0.620668057958249"	"0.475038912118583"	"1"	"0"	"0"	"0.000830584896315749"	"0.00175598188133394"	"0.00182563103971506"	"0.00363997616105718"	"0.000885405312010271"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.00438105437375262"	"0"	"0"	"0.000602455004141878"	"0.00185391175380052"	"0.00909987448448987"	"0"	"0"	"0"	"0"
