"alpha_div"	"Kruskal_test"	"Dunn_AD-AP"	"Dunn_AD-CON"	"Dunn_AP-CON"	"AD_mean"	"AD_SD"	"AP_mean"	"AP_SD"	"CON_mean"	"CON_SD"	"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"
"Observed"	"0.445163014894103"	"1"	"0.911944205185828"	"1"	"107.833333333333"	"18.0490073595937"	"128.666666666667"	"30.0377540216752"	"121.5"	"30.2572305408145"	"113"	"127"	"108"	"93"	"125"	"81"	"106"	"140"	"173"	"122"	"88"	"143"	"150"	"95"	"151"	"125"	"76"	"132"
"Chao1"	"0.470299306363909"	"1"	"0.991170146546383"	"1"	"107.888888888889"	"18.1128151890885"	"128.694444444444"	"30.0304320956568"	"121.5"	"30.2572305408145"	"113"	"127"	"108"	"93"	"125.333333333333"	"81"	"106"	"140"	"173"	"122.166666666667"	"88"	"143"	"150"	"95"	"151"	"125"	"76"	"132"
"se.chao1"	"0.102332639691943"	"0.263573919344229"	"0.148437964573615"	"1"	"0.278593864879143"	"0.33950717930722"	"0.090556183795397"	"0.221816443352413"	"0.0276664435510861"	"0.0677686696976751"	"0"	"0.249013802861906"	"0"	"0.248652281287036"	"0.925445107625941"	"0.248451997499977"	"0"	"0"	"0"	"0.543337102772382"	"0"	"0"	"0"	"0"	"0"	"0.165998661306516"	"0"	"0"
"ACE"	"0.470299306363909"	"1"	"0.991170146546383"	"1"	"108.008864884299"	"18.11705432009"	"128.763473554078"	"30.0128969929393"	"121.530983583115"	"30.2616262284878"	"113"	"127.176239084667"	"108"	"93.1938541902019"	"125.542745153735"	"81.140350877193"	"106"	"140"	"173"	"122.580841324468"	"88"	"143"	"150"	"95"	"151"	"125.185901498688"	"76"	"132"
"se.ACE"	"0.0469590406779789"	"0.0601880216948426"	"0.175239940393165"	"1"	"4.11574532336799"	"0.372082830856394"	"4.77589625668976"	"0.33011016192212"	"4.67181675322668"	"0.509603984090139"	"3.97558923110943"	"4.31286899210159"	"3.87298334620742"	"3.69937531545212"	"4.7485867367183"	"4.08506831861908"	"4.80565704380176"	"4.85504156227612"	"5.04431231241706"	"4.6817186644542"	"4.17786374293675"	"5.09078421425264"	"5.2795201802184"	"4.39617058239028"	"5.02180675119599"	"4.86018567090588"	"3.83885947974957"	"4.63435785489994"
"Shannon"	"0.420842310004952"	"1"	"0.83845610475338"	"0.702582914637643"	"3.20200220237244"	"0.308359564235535"	"3.21186589028491"	"0.396378754950521"	"2.81018774398388"	"0.660605483481569"	"3.56629015482431"	"3.35778814230644"	"3.08330850184063"	"3.01573640853615"	"3.44553821768011"	"2.74335178904698"	"2.87374613111529"	"3.27731115883708"	"3.70364766822479"	"3.18972128869297"	"2.66325363208204"	"3.56351546275729"	"3.18332253622449"	"1.87134649796243"	"3.63100891628869"	"3.26062351669887"	"2.59121278896401"	"2.32361220776479"
"Simpson"	"0.181299967735863"	"1"	"0.197962116588441"	"0.838456104753379"	"0.909912372563549"	"0.026721446430238"	"0.894185948197615"	"0.0341005689764549"	"0.810869430221639"	"0.123826689582538"	"0.945553646853881"	"0.92223579606712"	"0.911602366960072"	"0.887967647799936"	"0.921352280857469"	"0.870762496842813"	"0.861612606186848"	"0.899332741713935"	"0.943439916731461"	"0.890950092860098"	"0.852351845252264"	"0.917428486441085"	"0.859298780047703"	"0.615105594235193"	"0.927013768986288"	"0.912825905497421"	"0.844796427880027"	"0.706176104683206"
"InvSimpson"	"0.181299967735863"	"0.702582914637643"	"1"	"0.838456104753379"	"11.9862037080396"	"3.73825757688352"	"10.4823011901123"	"4.02116300835847"	"7.45407269391962"	"4.38851682917076"	"18.3667030428333"	"12.8593870884748"	"11.3125200937034"	"8.92599307577002"	"12.7149269031913"	"7.73769204426473"	"7.22609171576842"	"9.93371645384745"	"17.6803134332767"	"9.17011326490253"	"6.77285809435647"	"12.1107141785223"	"7.10725891601391"	"2.5981151843788"	"13.7012144086756"	"11.4712978173856"	"6.44315067198964"	"3.40339916507411"
"Fisher"	"0.459425824035926"	"0.702582914637643"	"1"	"1"	"15.6536479989935"	"3.07996719658944"	"19.0280352029274"	"5.05220882376731"	"17.8619503472469"	"5.37218116896576"	"16.1373418606819"	"17.851241098835"	"14.8835357541404"	"13.5225032943925"	"20.0769015016745"	"11.4503644842365"	"15.2470785697447"	"20.8626403710063"	"25.9102359494263"	"17.7849983701228"	"11.9742111330508"	"22.3890468242138"	"23.6268906092542"	"12.7169700564319"	"23.425875208652"	"18.6550269281283"	"10.5872400823274"	"18.1596991986878"
