"feature"	"enrich_group"	"ef_lda"	"pvalue"	"padj"
"d__Bacteria| p__Firmicutes| c__Bacilli| o__Lactobacillales| f__Aerococcaceae| g__Aerococcus| g__Aerococcus_"	"AP"	2.63628217663774	0.00854297548517708	0.00854297548517708
"d__Bacteria| p__Firmicutes| c__Bacilli| o__Staphylococcales| f__Staphylococcaceae| g__Jeotgalicoccus"	"AP"	2.46753901511215	0.0345016487490504	0.0345016487490504
"d__Bacteria| p__Firmicutes| c__Bacilli| o__Staphylococcales| f__Staphylococcaceae| g__Jeotgalicoccus| g__Jeotgalicoccus_"	"AP"	2.46561276529356	0.0345016487490504	0.0345016487490504
"d__Bacteria| p__Firmicutes| c__Bacilli| o__Lactobacillales| f__Lactobacillaceae| g__Lactobacillus| s__Lactobacillus_intestinalis"	"CON"	4.68388495881615	0.0319224918348958	0.0319224918348958
"d__Bacteria| p__Campilobacterota"	"CON"	4.33604372400806	0.017127624139044	0.017127624139044
"d__Bacteria| p__Campilobacterota| c__Campylobacteria"	"CON"	4.33604372400806	0.017127624139044	0.017127624139044
"d__Bacteria| p__Campilobacterota| c__Campylobacteria| o__Campylobacterales"	"CON"	4.33604372400806	0.017127624139044	0.017127624139044
"d__Bacteria| p__Campilobacterota| c__Campylobacteria| o__Campylobacterales| f__Helicobacteraceae"	"CON"	4.33604372400806	0.017127624139044	0.017127624139044
"d__Bacteria| p__Campilobacterota| c__Campylobacteria| o__Campylobacterales| f__Helicobacteraceae| g__Helicobacter"	"CON"	4.33604372400806	0.017127624139044	0.017127624139044
"d__Bacteria| p__Campilobacterota| c__Campylobacteria| o__Campylobacterales| f__Helicobacteraceae| g__Helicobacter| g__Helicobacter_"	"CON"	4.33538172172065	0.017127624139044	0.017127624139044
"d__Bacteria| p__Deferribacterota| c__Deferribacteres"	"CON"	3.68698847755678	0.016437571651773	0.016437571651773
"d__Bacteria| p__Deferribacterota| c__Deferribacteres| o__Deferribacterales| f__Deferribacteraceae| g__Mucispirillum"	"CON"	3.68638419888385	0.016437571651773	0.016437571651773
"d__Bacteria| p__Deferribacterota"	"CON"	3.68635210076975	0.016437571651773	0.016437571651773
"d__Bacteria| p__Deferribacterota| c__Deferribacteres| o__Deferribacterales| f__Deferribacteraceae"	"CON"	3.68624664994329	0.016437571651773	0.016437571651773
"d__Bacteria| p__Deferribacterota| c__Deferribacteres| o__Deferribacterales"	"CON"	3.68579663396985	0.016437571651773	0.016437571651773
"d__Bacteria| p__Deferribacterota| c__Deferribacteres| o__Deferribacterales| f__Deferribacteraceae| g__Mucispirillum| s__Mucispirillum_schaedleri"	"CON"	3.68562150894009	0.016437571651773	0.016437571651773
"d__Bacteria| p__Actinobacteriota"	"CON"	3.46543816033923	0.00854297548517708	0.00854297548517708
