"beta_div"	"ADONIS_Df"	"ADONIS_SumOfSqs"	"ADONIS_R2"	"ADONIS_F"	"ADONIS_Pr(>F)"	"ANOSIM_R"	"ANOSIM_P"
"bray"	2	0.654555349797952	0.269835245291103	2.77165437886701	0.001	0.292181069958848	0.001
"unifrac"	2	0.461768354935617	0.218678560324139	2.0991222295288	0.001	0.329218106995885	0.001
"wunifrac"	2	0.174367370264308	0.227169806448106	2.20458978256314	0.077	0.17201646090535	0.039
"jsd"	2	0.181217194743075	0.356827844763748	4.16095257535687	0.001	0.331687242798354	0.001
"euclidean"	2	98676577.8888889	0.284302715286731	2.97929084012767	0.039	0.167901234567901	0.018
"dpcoa"	2	0.0578723200608335	0.177365906133887	1.61705466126797	0.205	0.125925925925926	0.065
