"Row.names"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"AD1"	"AD4"	"AD5"	"AD6"	"AD7"	"AD8"	"AP2"	"AP3"	"AP4"	"AP5"	"AP6"	"AP7"	"CON1"	"CON3"	"CON4"	"CON5"	"CON6"	"CON8"
"012fd906263ae98fa1e0aeae235e9510"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Clostridia_UCG-014"	" f__Clostridia_UCG-014"	" g__Clostridia_UCG-014"	""	0	0	0	0	0	0	0.0020723436322532	0.00146130465279401	0	0	0	0.000527148128624143	0.00148312940304042	0	0.00115355906900997	0	0	0
"01526cee3fdf7ad501533f8e79cee802"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Lachnospirales"	" f__Lachnospiraceae"	" g__Lachnospiraceae_NK4A136_group"	""	0	0	0	0.00785959557420832	0.00434181961713045	0	0	0.00485153144727613	0.00160638660370929	0.00200791354160515	0.00268730517037515	0.00617516379245425	0.00986281053021876	0.00138963600502062	0	0.00270698534266473	0	0.00257306348170053
"017213032a7a4e78be651d3e02fd3513"	"d__Bacteria"	" p__Bacteroidota"	" c__Bacteroidia"	" o__Bacteroidales"	" f__Muribaculaceae"	" g__Muribaculaceae"	" s__uncultured_bacterium"	0	0	0	0	0	0	0	0	0	0.000826787928896238	0	0	0	0	0	0	0	0
"017b82a4722188c130fadc4ddf15be0f"	"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	""	""	""	""	0	0	0	0.0150324303700878	0.00937438326425893	0.0177646188008882	0.00276312484300427	0.00368248772504092	0.00369955702672443	0	0	0	0	0	0	0	0	0
"01ccc9f9ab02df58812600468f9de4c3"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Ruminococcaceae"	""	""	0.00299046436833493	0.000866393068855449	0.000332131334219017	0	0	0	0	0	0	0	0	0.000527148128624143	0	0	0.000407138494944697	0	0	0
"01d2339e33c53dfb3e90191f8706855e"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Lachnospirales"	" f__Lachnospiraceae"	""	""	0	0	0	0	0	0	0.000439588043205225	0.000292260930558803	0	0	0	0	0.000519095291064145	0	0	0	0	0
"0221ac31aa16e6e6b7d213958446adeb"	"d__Bacteria"	" p__Patescibacteria"	" c__Saccharimonadia"	" o__Saccharimonadales"	" f__Saccharimonadaceae"	" g__Candidatus_Saccharimonas"	" s__uncultured_bacterium"	0	0	0	0	0	0	0.0014443607133886	0.00134440028057049	0.000486783819305846	0	0	0	0	0	0	0.000396144196487521	0	0.000115211797688083
"02626b339b82d1085401667d702c9ffc"	"d__Bacteria"	" p__Campilobacterota"	" c__Campylobacteria"	" o__Campylobacterales"	" f__Helicobacteraceae"	" g__Helicobacter"	""	0	0	0	0	0	0	0	0	0	0	0	0	0.000296625880608083	0	0	0	0	0
"029a724311054af606fb9072f47cbbb9"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Clostridia_vadinBB60_group"	" f__Clostridia_vadinBB60_group"	" g__Clostridia_vadinBB60_group"	" s__uncultured_bacterium"	0	0	0	0	0	0	0	0	0	0	0	0.000828375630695082	0	0	0	0	0	0
"02b6a4e76404aa80af20252ab6d8edf5"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Lachnospirales"	" f__Lachnospiraceae"	""	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149284114813056	0	0	0
"02ec4fe076ee71a55f438dc91ac645ba"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Ruminococcaceae"	" g__uncultured"	" s__uncultured_bacterium"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00162855397977879	0	0	0
"03827d6322ebbc35fd780b2d59d01775"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Lachnospirales"	" f__Lachnospiraceae"	""	""	0	0.00460556315549476	0	0.00175505532239603	0.00394710874284587	0	0	0	0	0	0	0	0	0	0	0	0	0
"03c9767edaac5ecee0a0bb25c0fbda6d"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Oscillospiraceae"	" g__uncultured"	""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000474994910768813	0	0	0
"04be702b895fe5ed0568344daf564276"	"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Staphylococcales"	" f__Staphylococcaceae"	" g__Staphylococcus"	""	0	9.11992704058368e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"0524fe2272760ca36fba73e82ad77e74"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Lachnospirales"	" f__Lachnospiraceae"	" g__A2"	" s__uncultured_bacterium"	0	0.000957592339261286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"05d2e6f2c8c334be6e9cc652426165da"	"d__Bacteria"	" p__Firmicutes"	" c__Clostridia"	" o__Oscillospirales"	" f__Ruminococcaceae"	" g__Incertae_Sedis"	""	0	0	0	0	0	0	0	0.000175356558335282	0	0	0	0	0	0	0	0	0	0
"0615eff74d0f2f3c25ad85862daab20b"	"d__Bacteria"	" p__Firmicutes"	" c__Bacilli"	" o__Lactobacillales"	" f__Lactobacillaceae"	" g__Lactobacillus"	""	0	0	0	0	0	0.000444115470022206	0	0	0	0	0	0	0	0	0	0	0	0
