sequence	16S_rRNA_Count	metadata_NSTI
273314edefe5cc51abc11266f8d0c074	1	0.311667
2734cae6fb1193b99fa501d6168b273e	1	0.172594
275f5d7388062a98d2bdce0dd59bfd7d	4	0.419823
277fdf63cae1ed08041a21be01b91953	1	0.113245
280bb2b566730f0f4789993ca17ff357	1	0.580633
280cee65d2c6f4f04cb4c12450e0ce84	1	0.388331
283bb90bbef8d5eaa4ff6fddc6725806	1	0.562527
28c8823588cb4b3946d2de7685605e61	1	0.842534
29ba1135e5ed248a64839a8571230863	1	0.072061
2a7a5cb9153f70133cb37251e8374117	1	0.753393
2ac69717065b96e5ac45137ad1c725a3	1	0.446641
2b036c10ab6b64e84b22b84711aef6ef	1	0.651857
2b7c0068298ebe7bad8d7debd9795f6c	1	0.409416
2bd2f1b380bc3255d4532f30690431bf	1	0.244224
2bf06c9a8754351bc68c7fefd8b6151b	4	0.49279
2c3a5409306662337b339e7c79e65dda	1	0.062644
2c72272f87ad3fb1bb14bc3c2477a2d0	1	0.44283
2d16b7f72c11e9b2bb521f49193629ec	1	0.00015
2d23d5207120d2a9f97aa5863ef04387	1	0.3958
2d257553a6e4a29d1049474d2805c1fb	2	0.00015
2d54bddc534353d4747ec1ffe430dfd1	1	0.192655
2d7cbd5bbe37bf0a7e96d6a1029236ac	1	0.091118
2e44846592a14c5147ccb92700a49a77	1	0.806164
2eb2b317e3106a477a34836339150858	1	0.055423
2f2b710b6e43a7e2e0d375c48d9c0c9d	1	0.293982
2f3367988d9c042e164281d72e718b9b	1	0.331434
2f37f6dfd5a9e76f2de09f6b7c189a6a	4	0.890792
2f84e0f713ad12b7f80d875da9bd194a	1	0.198231
30df889925fa7e6e7c2cb1b2d2ce8b45	4	0.293295
3111f9924447489571a8ab8981721b20	1	0.20656
31d6aa6610ab0dcb62cc7c884fb6d15f	1	0.165696
32833a4c9aee19c697d504bb90cb45da	2	0.512099
32c2759f0dd9ff9d0820daa70f8f5012	1	0.08468
338e6f8d061eb6d15b4464f42ba41b7d	3	0.183367
33ca47e9f0205462bd8ce281f2ba04df	2	0.497428
34153e727eec04478be507cc5343405a	1	0.149149
3422b9ae8482a9d14c0c6fdca9b608ab	1	0.170408
348e85fdde75503a9c70539e268160bd	4	0.505993
3566069e568a445eac1cc7eb548f79f2	4	0.363349
356da847aaba77cabf4595d038fd2b68	1	0.224724
35a3793bfe7609c7fc9f902a17aaf85f	1	0.103172
35e21dd72be7afa8f7dc732852eaa935	4	0.389327
363f843a8c637fe3e3bbc5de02733fe5	1	0.68386
36e3241bea3768e4123c414f63716333	1	0.303664
36e7d485787d726a0e16bff74100463e	4	0.428196
37044cafc044a11885b013464c542d7a	3	0.127407
370745f4994532cbc8f85559ac466cd5	6	0.117581
374fced2de6dd515a1a3b1bc551e96de	1	0.6682
37f201fc1c3d0347425aff977b59966a	1	0.274025
38ed7202efb87e3468f28422c76f6a86	4	0.255687
397e544c44b9ba06015ca6352cff347d	2	0.3495
39ca424228e2fe8224a68252d7c1dfc5	4	0.303585
39eb4d3fe8af4312ca2464ba2f4c0166	1	0.165047
3a44b2d738787e926e9c65457ceafe77	1	0.358054
3af1ce1958d93626781ddb08138c1555	1	0.187525
3bf444ae891a8eaacb3203ca1760e075	1	0.205485
3c118102f97c7b184f46f5a5328dafb1	1	0.167779
3cc95b4e921d346d6cd11e2c74d528dc	2	0.473635
3d3b82b078ec8acbc61ecf0ed892de0b	1	0.209866
3e30d599c689f3356023ab445fe36eb0	1	0.114448
3e6595ac31223c240b2c73f2061d36d5	1	0.66788
3f46b2bc8f3d87c25b777b0c7945fac8	1	0.760816
3fa1ee424efcd2e25413a80335310d63	1	0.382422
3fdecf19232f899f07783c6b46092604	4	0.336508
403a6ac50d66a24d8c79e92972cbbb90	1	0.754365
40b6b949c5e42b864ea5782bd4a43968	1	0.129185
4114b7b263ee2d2a9bad28c67a843e9d	3	0.609118
41632864d52fe7b93113df78081cc4e2	1	0.238655
418516f907a044dc4a050a956456a790	1	0.198611
4198bc0678289afc0831795d2a84cbf6	1	0.630422
41b3129038117b7c9e14dda9ef77dbd1	1	0.013588
41db16c6a1283c169a5ee756951c5dd9	1	0.333047
41fd2b938a586046060e0e7aef256239	1	0.278707
420d881a84e6d4c4cb39df539c091fc8	4	0.260852
42690539aa399c812b99bc18ad34b6b7	4	0.498701
433825ff409a5a1f3942dc18cf044c1b	1	0.487847
43c0fc4c910b2b2e814cc513fa1216cf	1	0.352515
43f9a946f7131f61842f933579052866	2	0.467542
4493e43c6ebf1a3f28f4d12497eb4698	4	0.07245
44ae901157d54424d8ae08e9a9ae9704	1	0.68561
44bd1efc8d03b8e1153d643564b15e9c	1	0.087501
44cae38ace30f54ee81cc5c5b2ce47eb	1	0.068948
4576b43e6b018f7b1f62eb9802d179f8	4	0.51276
45ac4dd5ac6a33903b3fae14faff2115	4	0.266636
45e1a91277b9e60c848b17f6d3f818db	2	0.068753
4607b7404b3f99f59b4e415b329e7a6f	1	0.183819
462b8f1780130500d37b2256e177b1e4	4	0.552793
46564d59d3c490d0845a3519e8379869	1	0.380001
46c4bb9712e0a90290c4cbcf56d860a3	1	0.181379
46efaedf0b7cefe9460531c9c6364bd1	2	0.00015
47244f9384887abc2c7313e0ab7fc4ea	1	0.021233
475b206b5a66ff74a0bf4ac3a0e6bc0b	1	0.40377
47cf03a1d7cc50e2b29ecef29f36e820	1	0.619647
48205a6d596055905fa0dbf9ed794863	1	0.320074
48c9e882b29135c86dbd16bc9e6946a5	1	0.209866
49d100f9906bf4d6aeeb9472dc402f89	1	0.385622
49da2429319bb8bab3d9139319699d74	1	0.108853
49ef9259c2311579bd3f3f9fb115047a	3	0.183367
4a381e3446c64651b44ec50a250817d8	1	0.387531
4a5ca2c1b01a086ac047342cae74a6bc	1	0.140642
4ae778fee19dbfc68145878b4ab296ec	1	0.221387
4b0ae96ba7d2990898244875daeb029c	2	0.516847
4b2cc6806d84fe7aa0a80569014c09f7	4	0.479518
4c2da45e460a2cb09b961edc7cdd3bb2	1	0.236357
4c58adf77739e2e77c30556ea55b2d32	1	0.692549
4d24f63a4ee56e1d36b9143f8609c04e	1	0.577498
4dfe3eb93ed9776d8ea7e0681ed1f9b6	1	0.17852
4e2630b73e34af7d8844ba855211b1a0	1	0.013206
4e59c0041d4c780cbee9e361beb8fca2	1	0.081476
4e5dbd89de2ddd68d6e4d327717bb6c6	2	0.132725
4ee9c1b57eb6f789cb2d57c4cb2f783f	4	0.327228
4f766035212579d0ea8e0b1b795ed8bf	1	0.079092
4f7c3af6e8663b0870f0ed5d16d9e49a	2	0.044232
4f8f23e3992e5e15e8033515108217de	1	0.025416
5033b6951462e70ee6301ce9c9ebe8c5	1	0.209039
50be19a8d2830242681ea095a3b01b5a	1	0.155335
5105f91b1b28ae7ee4dafb34c84c8fff	4	0.285634
510b4a5f48086701416ab699f4056bad	4	0.306871
512898f314cce3e1e8a8323c36fef6e1	1	0.182767
51b3e51d2d8fd6795294c65064c93eec	1	0.057614
51dbca22f7469bb00e4379845bc1fb83	1	0.148894
51e2f60e2e3871c998d391de0caac8bf	1	0.812238
5201655aa9cf2f7ace465410a878f312	1	0.767192
531ab4c63ec669ee00972774562309de	4	0.261077
536c260407b5480c266a72004a8c6ccd	1	0.48404
547f80f193a2881abc9f7026b92ad352	1	0.005246
55569d0a471f84ff78ebf6cd42f083bf	1	0.013625
56ccacfbbe8f56be55f3740e1f106abe	1	0.167779
571f85b5db8d7d352c500e3097160aa1	1	0.343361
574947bc3b2c96ddd1c1752046ba01eb	1	0.364163
574b5592d3f088b14174abd838866651	4	0.510875
57a2780152d4c79535f9c71d21c87db8	1	0.156978
58038055caa314c384db91ebb63e2902	1	0.150595
5848f6c0f80056b2150a449b5f38b3bd	1	0.128135
5869a42e31899d7780629f0716109cf5	1	0.241841
58cb1f714adaedf60dd49adf273eaf59	1	0.066242
593d065c43a666a4107f3b14d3181bfe	1	0.242994
594e2d8eb1e556986abce909e8b09ffc	4	0.357975
59d1a85628793ccb23ab44f255226b15	4	0.306404
5ac019b3b36d7a79722a10ab043c4bef	1	0.142883
5c33db7c460ec1200192e97fda0dbb2e	1	0.282503
5c47bef8f5da9056d79608d94aec1606	1	0.374371
5cbf0b2efd8f80a169ab74ad33079e39	1	0.192465
5cccb749e8c283919cc185f2e25c8565	4	0.289612
